118
PID : COMMAND
1 : /usr/lib/systemd/systemd
2 : [kthreadd]
3 : [rcu_gp]
4 : [rcu_par_gp]
6 : [kworker/0:0H-kblockd]
8 : [mm_percpu_wq]
9 : [ksoftirqd/0]
10 : [rcu_sched]
11 : [migration/0]
12 : [watchdog/0]
13 : [cpuhp/0]
15 : [kdevtmpfs]
16 : [netns]
17 : [kauditd]
18 : [khungtaskd]
19 : [oom_reaper]
20 : [writeback]
21 : [kcompactd0]
22 : [ksmd]
23 : [crypto]
24 : [kintegrityd]
25 : [kblockd]
26 : [tpm_dev_wq]
27 : [md]
28 : [edac-poller]
29 : [watchdogd]
46 : [kswapd0]
139 : [kthrotld]
140 : [acpi_thermal_pm]
141 : [kmpath_rdacd]
142 : [kaluad]
143 : [ipv6_addrconf]
145 : [kstrp]
448 : [ata_sff]
449 : [scsi_eh_0]
450 : [scsi_tmf_0]
451 : [scsi_eh_1]
452 : [scsi_tmf_1]
454 : [scsi_eh_2]
455 : [scsi_tmf_2]
461 : [kworker/0:1H-kblockd]
519 : [kdmflush]
529 : [kdmflush]
564 : [jbd2/dm-0-8]
565 : [ext4-rsv-conver]
680 : /usr/lib/systemd/systemd-udevd
740 : [kdmflush]
750 : [irq/18-vmwgfx]
751 : [ttm_swap]
771 : [jbd2/sda1-8]
772 : [ext4-rsv-conver]
783 : [xfsalloc]
784 : [xfs_mru_cache]
785 : [xfs-buf/dm-2]
786 : [xfs-conv/dm-2]
787 : [xfs-cil/dm-2]
788 : [xfs-reclaim/dm-]
789 : [xfs-log/dm-2]
790 : [xfs-eofblocks/d]
791 : [xfsaild/dm-2]
811 : /usr/bin/rpcbind
815 : /sbin/auditd
827 : [rpciod]
828 : [kworker/u3:0]
830 : [xprtiod]
844 : /usr/sbin/mcelog
845 : /usr/sbin/smartd
846 : /usr/sbin/sssd
847 : avahi-daemon:
848 : /usr/bin/dbus-daemon
851 : /usr/sbin/ModemManager
855 : /usr/lib/polkit-1/polkitd
856 : /usr/bin/lsmd
860 : /usr/sbin/gssproxy
861 : avahi-daemon:
862 : /sbin/rngd
872 : /usr/libexec/sssd/sssd_be
879 : /usr/libexec/sssd/sssd_nss
882 : /usr/libexec/platform-python
884 : /usr/lib/systemd/systemd-logind
899 : /usr/sbin/NetworkManager
907 : /usr/libexec/platform-python
910 : /usr/sbin/sshd
1136 : /usr/sbin/crond
1137 : /usr/sbin/atd
1138 : login
1152 : /usr/lib/systemd/systemd
1157 : (sd-pam)
1163 : -bash
1238 : sh
1246 : /root/.vscode-server/bin/ea3859d4ba2f3e577a159bc91e3074c5d85c0523/node
1452 : /bin/bash
1453 : /bin/bash
36413 : /usr/lib/systemd/systemd-journald
107831 : /bin/bash
148425 : [kworker/u2:2-flush-253:2]
347562 : [kworker/u2:0-flush-253:0]
348159 : sshd:
348309 : sshd:
348310 : bash
348382 : /root/.vscode-server/bin/ea3859d4ba2f3e577a159bc91e3074c5d85c0523/node
348384 : /root/.vscode-server/bin/ea3859d4ba2f3e577a159bc91e3074c5d85c0523/node
349068 : /bin/bash
349516 : /root/.vscode-server/bin/ea3859d4ba2f3e577a159bc91e3074c5d85c0523/node
509950 : [kworker/0:0-ata_sff]
534185 : [kworker/0:2-events]
542110 : [kworker/0:1-ata_sff]
545467 : sleep
547761 : /bin/bash
547765 : /bin/bash
547766 : top
547767 : head
547768 : tail
547769 : awk
547770 : ps
547771 : awk
547772 : /bin/bash
